省份,性别,年龄,金额
湖南,0,20,3813.58
江西,0,20,3925.58
重庆,1,20,4016.27
四川,1,20,4700
安徽,0,20,4734.07
辽宁,1,20,5000
河北,1,20,5311
江苏,1,20,5400
山东,0,20,5500
江苏,1,20,6000
江西,1,20,6000
天津,1,20,6001
山西,1,20,6012
山东,1,20,6470
天津,1,20,6600
内蒙古,0,20,7000
吉林,0,20,7000
北京,0,20,7000
广东,1,20,7250
安徽,1,20,7300
黑龙江,0,20,7604.34
山西,1,20,8000
重庆,1,20,8003
安徽,0,20,8500
安徽,1,20,9600
吉林,1,20,9933.34
江西,1,20,10000
山东,1,20,10000
福建,1,20,10000
福建,1,20,10000
河北,0,20,10000
北京,0,20,10000
浙江,1,20,10000
重庆,1,20,10049
上海,1,20,10600
内蒙古,0,20,10701
浙江,0,20,11042.7
广东,0,20,11504.07
湖北,0,20,12238.95
江苏,1,20,12353.21
广东,0,20,12549.78
安徽,0,20,14000
北京,0,20,14819.61
四川,0,20,14900
广东,1,20,15000
浙江,0,20,15080
四川,1,20,16018.42
广东,0,20,17565.47
广西,1,20,18103.52
江苏,0,20,19808.14
广东,1,20,20000
广东,0,20,20000
广东,1,20,20000
广东,0,20,20000
广东,1,20,20000
北京,1,20,20007
上海,1,20,21098.09
广东,1,20,22155.36
陕西,0,20,25000
上海,1,20,25000
重庆,1,20,25004
湖北,0,20,27664.77
四川,0,20,30006
广东,0,20,30082.37
上海,0,20,31990.08
山东,1,20,32663.36
山西,1,20,34227.36
浙江,0,20,34825
江苏,1,20,36200
上海,0,20,38275
河南,0,20,40000
北京,1,20,40000
江苏,0,20,40000
广东,1,20,40087.12
湖北,1,20,40124.93
湖北,1,20,40744.77
辽宁,0,20,48851.9
安徽,0,20,50001
安徽,1,20,52000
广东,0,20,53000
吉林,1,20,56394.5
陕西,0,20,59543.56
湖北,1,20,60007
河北,1,20,62851
浙江,1,20,66100
江苏,0,20,74484.37
广东,0,20,80174.25
福建,1,20,89162.74
广东,0,20,97706.88
广东,0,20,100087.12
山东,1,20,109375
福建,1,20,120001
北京,0,20,127665.37
上海,0,20,197213.45
北京,0,20,200000
江苏,1,20,200007
福建,0,20,217000
西藏,1,20,256009.14
山东,1,20,390005
江西,0,20,400000
山东,0,20,415255
广东,1,20,601306.85
上海,0,21,0
黑龙江,1,21,0
上海,0,21,0
湖南,1,21,0
北京,1,21,0
山东,1,21,0
山东,0,21,0
四川,0,21,0
广东,1,21,0
广东,1,21,0
天津,1,21,0
广东,0,21,0
新疆,0,21,0
北京,1,21,0
湖南,1,21,0
广西,0,21,0
重庆,0,21,0
黑龙江,1,21,0
湖北,1,21,0
湖南,0,21,0
上海,0,21,0
江苏,0,21,0
广东,1,21,0
江苏,0,21,0
四川,1,21,0
北京,1,21,0
江西,1,21,0
安徽,0,21,0
辽宁,0,21,0
陕西,1,21,0
广西,1,21,0
黑龙江,1,21,0
福建,1,21,0
浙江,0,21,0
福建,1,21,0
四川,1,21,0
广东,1,21,0
广东,1,21,0
四川,1,21,0
海南,1,21,0
海南,1,21,0
山东,1,21,0
浙江,1,21,0
广东,1,21,0
河北,1,21,0
河南,1,21,0
黑龙江,1,21,1
内蒙古,1,21,1
辽宁,0,21,1
江苏,1,21,1
福建,1,21,1
广东,1,21,1
江苏,1,21,1
四川,0,21,1
广东,0,21,1
湖南,1,21,1
广东,1,21,1
广东,1,21,1
四川,1,21,1
广东,1,21,1.1
陕西,1,21,1.1
福建,1,21,1.1
四川,1,21,1.1
广西,1,21,1.1
广东,0,21,1.15
广东,1,21,1.2
福建,1,21,1.32
江西,1,21,1.4
辽宁,0,21,1.5
河南,1,21,1.88
江苏,0,21,2
广东,0,21,2
四川,0,21,2
陕西,1,21,2
江苏,1,21,2
四川,1,21,2
浙江,1,21,2
云南,1,21,2
江西,1,21,2
上海,1,21,2
广东,1,21,2
广东,1,21,2
辽宁,0,21,2
河北,0,21,2
广西,1,21,2
广西,0,21,2
重庆,1,21,2
陕西,0,21,2
广东,1,21,2
河南,1,21,2
安徽,0,21,2
福建,1,21,2
广西,1,21,2
广西,1,21,2
辽宁,1,21,2
广西,0,21,2
安徽,1,21,2
山西,0,21,2
浙江,1,21,2
浙江,1,21,2
广东,0,21,2
广东,1,21,2
河南,1,21,2
湖南,1,21,2
黑龙江,1,21,2
陕西,1,21,2
河北,1,21,2
江苏,1,21,2
湖北,0,21,3
浙江,0,21,3
江西,1,21,3
四川,0,21,3
广东,1,21,3
湖北,1,21,3
上海,1,21,3
广东,1,21,3.1
山东,1,21,3.12
四川,1,21,4
四川,1,21,4
河南,1,21,4
四川,0,21,4
北京,0,21,4
安徽,1,21,4
河南,1,21,4
浙江,1,21,4
海南,1,21,4
河北,1,21,4
广东,1,21,5
江苏,1,21,5
浙江,1,21,5
广西,1,21,5
辽宁,1,21,5
江苏,1,21,5
河北,0,21,5
广东,1,21,5
广东,1,21,5
福建,1,21,5
海南,1,21,5
山东,1,21,5
海南,1,21,5
广东,1,21,6
广东,1,21,6
四川,1,21,6
四川,1,21,7
江苏,0,21,7
湖北,1,21,8
湖北,1,21,8
北京,0,21,9
广东,1,21,9
山东,1,21,10
黑龙江,1,21,10
福建,1,21,10
广东,1,21,10
湖北,1,21,10
宁夏,1,21,10
浙江,1,21,10
安徽,1,21,10
福建,1,21,10
海南,1,21,11
四川,1,21,11
江苏,1,21,12
江苏,1,21,12
四川,0,21,12
福建,1,21,12
江西,1,21,12
江苏,0,21,16
江苏,1,21,16
湖南,0,21,16
江西,1,21,16
安徽,1,21,18
广东,1,21,20
广西,0,21,20
安徽,0,21,21
重庆,0,21,21
江苏,1,21,22
江西,1,21,24
山东,1,21,33.1
江苏,1,21,36
福建,0,21,41
浙江,0,21,45
广西,0,21,52
福建,1,21,53.49
北京,0,21,81
河北,0,21,83
广东,1,21,90
