,MOBILEAREA,性别,年龄,金额,谷歌地图经度,谷歌地图纬度
29488,广东 广州市,男,23,20000,113.26435,23.12906597
29497,广东 广州市,女,23,20000,113.26435,23.12906597
29498,广东 广州市,女,23,20000,113.26435,23.12906597
29548,广东 广州市,女,23,20000,113.26435,23.12906597
29624,广东 广州市,男,23,20000,113.26435,23.12906597
29650,广东 广州市,男,23,20000,113.26435,23.12906597
29731,广东 广州市,男,23,20000,113.26435,23.12906597
29750,广东 广州市,女,23,20000,113.26435,23.12906597
30262,广东 广州市,男,23,20000,113.26435,23.12906597
30298,广东 广州市,女,23,20000,113.26435,23.12906597
29376,广东 广州市,男,22,20000,113.26435,23.12906597
29386,广东 广州市,女,22,20000,113.26435,23.12906597
29426,广东 广州市,女,22,20000,113.26435,23.12906597
29470,广东 广州市,男,22,20000,113.26435,23.12906597
29473,广东 广州市,男,22,20000,113.26435,23.12906597
29474,广东 广州市,男,22,20000,113.26435,23.12906597
30240,广东 广州市,男,22,20000,113.26435,23.12906597
30248,广东 广州市,男,22,20000,113.26435,23.12906597
30282,广东 广州市,男,22,20000,113.26435,23.12906597
30283,广东 广州市,男,22,20000,113.26435,23.12906597
30287,广东 广州市,女,22,20000,113.26435,23.12906597
30297,广东 广州市,男,22,20000,113.26435,23.12906597
29406,广东 广州市,女,21,20000,113.26435,23.12906597
29560,广东 广州市,男,21,20000,113.26435,23.12906597
29568,广东 广州市,男,21,20000,113.26435,23.12906597
29570,广东 广州市,男,21,20000,113.26435,23.12906597
29601,广东 广州市,女,21,20000,113.26435,23.12906597
29613,广东 广州市,男,21,20000,113.26435,23.12906597
29623,广东 广州市,男,21,20000,113.26435,23.12906597
30230,广东 广州市,男,21,20000,113.26435,23.12906597
30335,广东 广州市,女,21,20000,113.26435,23.12906597
29501,广东 广州市,男,20,20000,113.26435,23.12906597
29504,广东 广州市,女,20,20000,113.26435,23.12906597
29505,广东 广州市,男,20,20000,113.26435,23.12906597
29523,广东 广州市,男,20,20000,113.26435,23.12906597
29527,广东 广州市,女,20,20000,113.26435,23.12906597
29509,广东 广州市,女,19,20000,113.26435,23.12906597
29552,广东 广州市,女,19,20000,113.26435,23.12906597
29555,广东 广州市,女,19,20000,113.26435,23.12906597
30308,广东 广州市,女,19,20000,113.26435,23.12906597
29533,广东 广州市,男,18,20000,113.26435,23.12906597
29542,广东 广州市,男,18,20000,113.26435,23.12906597
30309,广东 广州市,男,0,20000,113.26435,23.12906597
30332,广东 广州市,男,0,20000,113.26435,23.12906597
26417,广东 惠州市,女,34,20000,114.41679029999999,23.11074186
26416,广东 惠州市,男,33,20000,114.41679029999999,23.11074186
26415,广东 惠州市,男,25,20000,114.41679029999999,23.11074186
26414,广东 惠州市,男,23,20000,114.41679029999999,23.11074186
24013,广东 肇庆市,男,26,20000,112.46528470000001,23.0469087
31657,广东 佛山市,女,44,20000,113.1219262,23.0217925
31658,广东 佛山市,男,33,20000,113.1219262,23.0217925
31654,广东 佛山市,男,32,20000,113.1219262,23.0217925
31653,广东 佛山市,男,31,20000,113.1219262,23.0217925
31652,广东 佛山市,男,30,20000,113.1219262,23.0217925
31651,广东 佛山市,男,29,20000,113.1219262,23.0217925
31655,广东 佛山市,男,28,20000,113.1219262,23.0217925
31656,广东 佛山市,女,28,20000,113.1219262,23.0217925
32330,广东 东莞市,男,45,20000,113.75180309999999,23.02066519
32328,广东 东莞市,男,40,20000,113.75180309999999,23.02066519
32329,广东 东莞市,男,36,20000,113.75180309999999,23.02066519
32331,广东 东莞市,男,34,20000,113.75180309999999,23.02066519
32327,广东 东莞市,男,33,20000,113.75180309999999,23.02066519
32333,广东 东莞市,男,33,20000,113.75180309999999,23.02066519
32325,广东 东莞市,女,30,20000,113.75180309999999,23.02066519
32332,广东 东莞市,男,27,20000,113.75180309999999,23.02066519
32322,广东 东莞市,男,25,20000,113.75180309999999,23.02066519
32323,广东 东莞市,女,25,20000,113.75180309999999,23.02066519
32324,广东 东莞市,女,25,20000,113.75180309999999,23.02066519
32326,广东 东莞市,男,25,20000,113.75180309999999,23.02066519
31871,广东 云浮市,男,41,20000,112.0445105,22.91522264
26085,广东 汕尾市,男,28,20000,115.37512379999998,22.78565036
26086,广东 汕尾市,男,27,20000,115.37512379999998,22.78565036
22919,广西 玉林市,女,39,20000,110.1809723,22.65457603
22918,广西 玉林市,女,25,20000,110.1809723,22.65457603
25983,广东 江门市,男,26,20000,113.0815873,22.57869763
25052,广东 深圳市,男,50,20000,114.0595443,22.54283882
25039,广东 深圳市,男,45,20000,114.0595443,22.54283882
25076,广东 深圳市,男,44,20000,114.0595443,22.54283882
25071,广东 深圳市,男,43,20000,114.0595443,22.54283882
25083,广东 深圳市,女,42,20000,114.0595443,22.54283882
25058,广东 深圳市,男,41,20000,114.0595443,22.54283882
25075,广东 深圳市,男,41,20000,114.0595443,22.54283882
25054,广东 深圳市,男,40,20000,114.0595443,22.54283882
25056,广东 深圳市,男,40,20000,114.0595443,22.54283882
25064,广东 深圳市,男,38,20000,114.0595443,22.54283882
25082,广东 深圳市,男,38,20000,114.0595443,22.54283882
25067,广东 深圳市,男,37,20000,114.0595443,22.54283882
25063,广东 深圳市,男,36,20000,114.0595443,22.54283882
25065,广东 深圳市,男,36,20000,114.0595443,22.54283882
25077,广东 深圳市,男,36,20000,114.0595443,22.54283882
25078,广东 深圳市,男,36,20000,114.0595443,22.54283882
25062,广东 深圳市,女,35,20000,114.0595443,22.54283882
25040,广东 深圳市,男,34,20000,114.0595443,22.54283882
25053,广东 深圳市,女,34,20000,114.0595443,22.54283882
25059,广东 深圳市,女,34,20000,114.0595443,22.54283882
25060,广东 深圳市,男,34,20000,114.0595443,22.54283882
25069,广东 深圳市,男,34,20000,114.0595443,22.54283882
25072,广东 深圳市,男,34,20000,114.0595443,22.54283882
25079,广东 深圳市,男,34,20000,114.0595443,22.54283882
25080,广东 深圳市,男,34,20000,114.0595443,22.54283882
25081,广东 深圳市,男,34,20000,114.0595443,22.54283882
25074,广东 深圳市,男,33,20000,114.0595443,22.54283882
25034,广东 深圳市,男,32,20000,114.0595443,22.54283882
25057,广东 深圳市,女,32,20000,114.0595443,22.54283882
25037,广东 深圳市,女,31,20000,114.0595443,22.54283882
25042,广东 深圳市,男,31,20000,114.0595443,22.54283882
